4

	0 0.1 0.1
	-1 0.1 1.7
	-1 -1 -3.1
	0 -1 -1.7
FIN_LISTE

100
	0.1 1.488 19.498 4.45272
	0.1 1.476 19.1905 -5.63241
	0.1 1.464 13.9988 -14.284
	0.1 1.452 5.24424 -19.3002
	0.1 1.44 -4.84504 -19.4043
	0.1 1.428 -13.7012 -14.5697
	0.1 1.416 -19.0703 -6.02704
	0.1 1.404 -19.5857 4.0496
	0.1 1.392 -15.1164 13.0956
	0.1 1.38 -6.79981 18.8086
	0.1 1.368 3.24743 19.7346
	0.1 1.356 12.4682 15.6379
	0.1 1.344 18.5156 7.56126
	0.1 1.332 19.8506 -2.43985
	0.1 1.32 16.0528 -11.7609
	0.1 1.308 8.17716 -17.9007
	0.1 1.296 -1.58425 -19.3954
	0.1 1.284 -10.7284 -15.9712
	0.1 1.272 -16.9637 -8.60195
	0.1 1.26 -18.7844 0.765033
	0.1 1.248 -15.8331 9.72269
	0.1 1.236 -8.96441 16.0228
	0.1 1.224 -0.001666 18.14
	0.1 1.212 8.7467 15.6404
	0.1 1.2 15.0815 9.26496
	0.1 1.188 17.4654 0.714526
	0.1 1.176 15.3954 -7.80315
	0.1 1.164 9.50423 -14.1432
	0.1 1.152 1.37241 -16.7639
	0.1 1.14 -6.89463 -15.1005
	0.1 1.128 -13.2115 -9.683
	0.1 1.116 -16.0389 -1.97435
	0.1 1.104 -14.758 6.02361
	0.1 1.092 -9.80223 12.2896
	0.1 1.08 -2.51957 15.2938
	0.1 1.068 5.19241 14.3707
	0.1 1.056 11.3808 9.86306
	0.1 1.044 14.5321 3.00747
	0.1 1.032 13.9412 -4.4032
	0.1 1.02 9.86679 -10.4884
	0.1 1.008 3.43766 -13.757
	0.1 0.996 -3.65801 -13.4722
	0.1 0.984 -9.61538 -9.81489
	0.1 0.972 -12.9721 -3.80989
	0.1 0.96 -12.9667 2.95868
	0.1 0.948 -9.70899 8.76482
	0.1 0.936 -4.12413 12.1808
	0.1 0.924 2.30691 12.4277
	0.1 0.912 7.93963 9.55085
	0.1 0.9 11.3864 4.38051
	0.1 0.888 11.8582 -1.70424
	0.1 0.876 9.3424 -7.14263
	0.1 0.864 4.57936 -10.5925
	0.1 0.852 -1.15202 -11.2612
	0.1 0.84 -6.37651 -9.08571
	0.1 0.828 -9.80229 -4.72117
	0.1 0.816 -10.6401 0.651438
	0.1 0.804 -8.78297 5.64385
	0.1 0.792 -4.80662 9.01914
	0.1 0.78 0.203508 9.99793
	0.1 0.768 4.94709 8.43651
	0.1 0.756 8.24629 4.83656
	0.1 0.744 9.33805 0.190934
	0.1 0.732 8.04878 -4.28853
	0.1 0.72 4.81202 -7.48696
	0.1 0.708 0.531235 -8.66373
	0.1 0.696 -3.67036 -7.62234
	0.1 0.684 -6.74427 -4.73417
	0.1 0.672 -7.97829 -0.816915
	0.1 0.66 -7.15986 3.09458
	0.1 0.648 -4.60439 6.0213
	0.1 0.636 -1.04768 7.28505
	0.1 0.624 2.56306 6.66411
	0.1 0.612 5.321 4.42418
	0.1 0.6 6.58736 1.22341
	0.1 0.588 6.13793 -2.07754
	0.1 0.576 4.19521 -4.64627
	0.1 0.564 1.34418 -5.88853
	0.1 0.552 -1.63954 -5.58429
	0.1 0.54 -3.99989 -3.9193
	0.1 0.528 -5.19189 -1.41023
	0.1 0.516 -5.00619 1.25048
	0.1 0.504 -3.59841 3.38453
	0.1 0.492 -1.42197 4.50071
	0.1 0.48 0.911565 4.4067
	0.1 0.468 2.80275 3.23466
	0.1 0.456 3.81827 1.38001
	0.1 0.444 3.78898 -0.623854
	0.1 0.432 2.83026 -2.257
	0.1 0.42 1.28512 -3.14777
	0.1 0.408 -0.388226 -3.15621
	0.1 0.396 -1.74958 -2.38759
	0.1 0.384 -2.49238 -1.13826
	0.1 0.372 -2.51162 0.205385
	0.1 0.36 -1.90912 1.28267
	0.1 0.348 -0.940526 1.85521
	0.1 0.336 0.07586 1.85845
	0.1 0.324 0.85832 1.39746
	0.1 0.312 1.2393 0.693212
	0.1 0.3 1.2 0
FIN_LISTE
